10,15012,25830,26650
20,25726,25866,25944
30,24823,24969,25098
40,23880,24034,24185
50,22958,23216,23398
100,20922,21112,21233
150,20551,20656,20706
200,21027,21115,21183
250,20868,20932,20995
300,20732,20785,20851
350,20588,20671,20726
400,20506,20563,20615
450,20396,20471,20540
500,20299,20388,20431
550,20203,20291,20341
600,20069,20181,20258
650,20003,20081,20147
700,19899,19989,20080
750,19794,19847,19882
800,17444,17476,17505
850,17337,17356,17386
900,17257,17288,17317
950,17201,17235,17261
1000,17087,17143,17182
